GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API Payment,com.pagamento,AplicacaoPagamento,5,3,0,0,2,1,1,1,1,1
API Payment,com.pagamento.dto,PagamentoResponseDTO,2,131,2,4,1,44,2,22,0,21
API Payment,com.pagamento.dto,ErroResponseDTO,34,39,0,0,15,15,7,8,7,8
API Payment,com.pagamento.dto,PagamentoRequestDTO,18,38,0,0,7,16,1,11,1,11
API Payment,com.pagamento.dto,AtualizacaoStatusRequestDTO,6,10,0,0,3,4,1,3,1,3
API Payment,com.pagamento.configuracao,ConfiguracaoOpenApi,33,0,0,0,12,0,2,0,2,0
API Payment,com.pagamento.enums,MetodoPagamento,29,52,4,4,4,10,3,6,1,4
API Payment,com.pagamento.enums,StatusPagamento,29,35,4,0,4,8,3,3,1,3
API Payment,com.pagamento.servico,ServicoPagamento,20,191,6,16,2,48,6,18,1,11
API Payment,com.pagamento.controlador,ControladorPagamento,0,58,0,0,0,15,0,7,0,7
API Payment,com.pagamento.entidade,Pagamento,32,86,0,0,16,33,8,15,8,15
API Payment,com.pagamento.excecao,TransicaoStatusInvalidaException,0,21,0,0,0,5,0,2,0,2
API Payment,com.pagamento.excecao,PagamentoNaoEncontradoException,4,5,0,0,2,2,1,1,1,1
API Payment,com.pagamento.excecao,PagamentoInvalidoException,0,4,0,0,0,2,0,1,0,1
API Payment,com.pagamento.excecao,TratadorGlobalExcecoes,172,63,10,0,40,16,11,4,6,4
